Program,county,lead_agency,partner_name,location_name,street_address,city,zip_code
PA Pre-K Counts,Beaver,ALIQUIPPA SCHOOL DISTRICT,,ALIQUIPPA ELEMENTARY SCHOOL,800 21ST ST,ALIQUIPPA,15001
PA Pre-K Counts,Beaver,RHYMING THYME INC,,RHYMING THYME INC,612 AND 614 MARATTA RD,ALIQUIPPA,15001
PA Pre-K Counts,Beaver,AMBRIDGE AREA SCHOOL DISTRICT,,HIGHLAND ELEMENTARY,1101 HIGHLAND AVE,AMBRIDGE,15003
PA Pre-K Counts,Beaver,AMBRIDGE AREA SCHOOL DISTRICT,,STATE STREET ELEMENTARY SCHOOL,600 HARMONY RD,BADEN,15005
PA Pre-K Counts,Beaver,Lifesteps Inc,,LIFESTEPS/DUTCH RIDGE ELEMENTARY SCHOOL,2220 Dutch Ridge Rd,Beaver,15009
PA Pre-K Counts,Beaver,Lifesteps Inc,,LIFESTEPS,138 Friendship Cir,Beaver  ,15009
PA Pre-K Counts,Beaver,BIG BEAVER FALLS AREA SCHOOL,,CENTRAL ELEMENTARY SCHOOL,805 15TH ST,BEAVER FALLS,15010
PA Pre-K Counts,Beaver,CHIPPEWA NOAHS ARK,,CHIPPEWA NOAHS ARK,616 17TH ST,BEAVER FALLS,15010
PA Pre-K Counts,Westmoreland,WESTMORELAND HUMAN OPPORTUNITIES INC,,BELLE VERNON,250 CREST AVE,ROSTRAVER TOWNSH,15012
PA Pre-K Counts,Allegheny,HIGHLANDS SCHOOL DISTRICT,,HIGHLANDS EARLY CHILDHOOD CENTER,1060 ATLANTIC AVE,BRACKENRIDGE,15014
PA Pre-K Counts,Washington,BLUEPRINTS,,BURGETTSTOWN ELEMENTARY,100 BAVINGTON RD,BURGETTSTOWN,15021
PA Pre-K Counts,Washington,BLUEPRINTS,,CHARLEROI ELEMENTARY SCHOOL,75 FECSEN DR,CHARLEROI,15022
PA Pre-K Counts,Allegheny,ALLEGHENY VALLEY SCHOOL DISTRICT,,ACMETONIA ELEMENTARY SCHOOL,300 PEARL AVE,CHESWICK,15024
PA Pre-K Counts,Beaver,AMBRIDGE AREA SCHOOL DISTRICT,,ECONOMY ELEMENTARY SCHOOL,1000 1ST ST,FREEDOM,15042
PA Pre-K Counts,Allegheny,KIDS KADEMY II LLC,EARLY EDGE PRESCHOOL,EARLY EDGE PRESCHOOL,4004 GIBSONIA RD,GIBSONIA,15044
PA Pre-K Counts,Allegheny,ALLEGHENY INTERMEDIATE UNIT,,SOUTH ALLEGHENY GLASSPORT,509 7TH ST,GLASSPORT,15045
PA Pre-K Counts,Washington,BLUEPRINTS,,FORT CHERRY ELEMENTARY SCHOOL,110 FORT CHERRY RD,MC DONALD,15057
PA Pre-K Counts,Beaver,WESTERN BEAVER COUNTY S D,,FAIRVIEW ELEMENTARY,343 RIDGEMONT DR,MIDLAND,15059
PA Pre-K Counts,Beaver,PIC OF WESTMORELAND AND FAYETTE COUNTY INC,,TODD LANE ELEMENTARY,113 TODD LN,MONACA,15061
PA Pre-K Counts,Westmoreland,MONESSEN CITY SCHOOL DISTRICT,,MONESSEN ELEMENTARY CENTER,1275 ROSTRAVER ST,MONESSEN,15062
